priority,m07_row_id_or_alias,rust_function_alias,scilab_function_alias_if_known,source_file_locator,formula_family,risk_tier,recommended_chunk_group,shortlist_reason,contract_review_needed,notes
P1_after_helper_deduplication,PORT_STATUS_RELEASE_GATE.csv:row_0033,ch1_unit,foa_ch01_ast_unit,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/math/ast_ch1_vector.sci",low_risk_vector_math,low_risk_candidate,8D_helper_deduplication_then_low_risk_vector_contracts,common scalar/vector helper; promote only if deduplicated against existing M00 kernels and needed by a bounded family,yes_standard_formula_vault_contract_and_source_locator_review,Common vector helper; likely duplicate of existing central M00 vector kernels.
P1_after_helper_deduplication,PORT_STATUS_RELEASE_GATE.csv:row_0034,ch1_clamp,foa_ch01_ast_clamp,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/math/ast_ch1_vector.sci",low_risk_scalar_math,low_risk_candidate,8D_helper_deduplication_then_low_risk_scalar_contracts,common scalar/vector helper; promote only if deduplicated against existing M00 kernels and needed by a bounded family,yes_standard_formula_vault_contract_and_source_locator_review,Common scalar helper; likely duplicate utility row.
P1_after_helper_deduplication,PORT_STATUS_RELEASE_GATE.csv:row_0036,ch1_angle_between,foa_ch01_ast_angle_between,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/math/ast_ch1_vector.sci",low_risk_vector_math,low_risk_candidate,8D_helper_deduplication_then_low_risk_vector_contracts,common scalar/vector helper; promote only if deduplicated against existing M00 kernels and needed by a bounded family,yes_standard_formula_vault_contract_and_source_locator_review,Common vector helper; likely duplicate of existing central M00 vector kernels.
P0_next_after_current_review,PORT_STATUS_RELEASE_GATE.csv:row_0039,ch1_deg2rad,foa_ch01_ast_deg2rad,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/math/ast_ch1_vector.sci",unit_conversion,low_risk_candidate,8C_remaining_M00_unit_conversion_contracts,remaining M00 or near-M00 unit conversion pattern with low frame/time dependency,yes_standard_formula_vault_contract_and_source_locator_review,Unit/constants conversion pattern.
P0_next_after_current_review,PORT_STATUS_RELEASE_GATE.csv:row_0040,ch1_rad2deg,foa_ch01_ast_rad2deg,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/math/ast_ch1_vector.sci",unit_conversion,low_risk_candidate,8C_remaining_M00_unit_conversion_contracts,remaining M00 or near-M00 unit conversion pattern with low frame/time dependency,yes_standard_formula_vault_contract_and_source_locator_review,Unit/constants conversion pattern.
P2_after_contract_review,PORT_STATUS_RELEASE_GATE.csv:row_0047,to_canonical_distance,foa_ch01_ast_to_canonical_distance,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/units/ast_ch1_constants_units.sci",unit_conversion,low_risk_candidate,8D_deduplicated_unit_conversion_helpers,low-risk by metadata but requires family contract before implementation,yes_standard_formula_vault_contract_and_source_locator_review,Unit/constants conversion pattern.
P2_after_contract_review,PORT_STATUS_RELEASE_GATE.csv:row_0048,from_canonical_distance,foa_ch01_ast_from_canonical_distance,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/units/ast_ch1_constants_units.sci",unit_conversion,low_risk_candidate,8D_deduplicated_unit_conversion_helpers,low-risk by metadata but requires family contract before implementation,yes_standard_formula_vault_contract_and_source_locator_review,Unit/constants conversion pattern.
P2_after_contract_review,PORT_STATUS_RELEASE_GATE.csv:row_0049,to_canonical_time,foa_ch01_ast_to_canonical_time,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/units/ast_ch1_constants_units.sci",unit_conversion,low_risk_candidate,8D_deduplicated_unit_conversion_helpers,low-risk by metadata but requires family contract before implementation,yes_standard_formula_vault_contract_and_source_locator_review,Unit/constants conversion pattern.
P2_after_contract_review,PORT_STATUS_RELEASE_GATE.csv:row_0050,from_canonical_time,foa_ch01_ast_from_canonical_time,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/units/ast_ch1_constants_units.sci",unit_conversion,low_risk_candidate,8D_deduplicated_unit_conversion_helpers,low-risk by metadata but requires family contract before implementation,yes_standard_formula_vault_contract_and_source_locator_review,Unit/constants conversion pattern.
P2_after_contract_review,PORT_STATUS_RELEASE_GATE.csv:row_0051,to_canonical_speed,foa_ch01_ast_to_canonical_speed,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/units/ast_ch1_constants_units.sci",unit_conversion,low_risk_candidate,8D_deduplicated_unit_conversion_helpers,low-risk by metadata but requires family contract before implementation,yes_standard_formula_vault_contract_and_source_locator_review,Unit/constants conversion pattern.
P2_after_contract_review,PORT_STATUS_RELEASE_GATE.csv:row_0052,from_canonical_speed,foa_ch01_ast_from_canonical_speed,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/units/ast_ch1_constants_units.sci",unit_conversion,low_risk_candidate,8D_deduplicated_unit_conversion_helpers,low-risk by metadata but requires family contract before implementation,yes_standard_formula_vault_contract_and_source_locator_review,Unit/constants conversion pattern.
P2_after_contract_review,PORT_STATUS_RELEASE_GATE.csv:row_0053,to_canonical_mu,foa_ch01_ast_to_canonical_mu,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/units/ast_ch1_constants_units.sci",unit_conversion,low_risk_candidate,8D_deduplicated_unit_conversion_helpers,low-risk by metadata but requires family contract before implementation,yes_standard_formula_vault_contract_and_source_locator_review,Unit/constants conversion pattern.
P1_after_helper_deduplication,PORT_STATUS_RELEASE_GATE.csv:row_0104,ch2_col,foa_ch02_ast_col,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/core/ast_ch2_core.sci",low_risk_vector_math,low_risk_candidate,8D_helper_deduplication_then_low_risk_vector_contracts,common scalar/vector helper; promote only if deduplicated against existing M00 kernels and needed by a bounded family,yes_standard_formula_vault_contract_and_source_locator_review,Common vector helper; likely duplicate of existing central M00 vector kernels.
P1_after_helper_deduplication,PORT_STATUS_RELEASE_GATE.csv:row_0105,ch2_dot,foa_ch02_ast_dot,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/core/ast_ch2_core.sci",low_risk_vector_math,low_risk_candidate,8D_helper_deduplication_then_low_risk_vector_contracts,common scalar/vector helper; promote only if deduplicated against existing M00 kernels and needed by a bounded family,yes_standard_formula_vault_contract_and_source_locator_review,Common vector helper; likely duplicate of existing central M00 vector kernels.
P1_after_helper_deduplication,PORT_STATUS_RELEASE_GATE.csv:row_0106,ch2_cross,foa_ch02_ast_cross,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/core/ast_ch2_core.sci",low_risk_vector_math,low_risk_candidate,8D_helper_deduplication_then_low_risk_vector_contracts,common scalar/vector helper; promote only if deduplicated against existing M00 kernels and needed by a bounded family,yes_standard_formula_vault_contract_and_source_locator_review,Common vector helper; likely duplicate of existing central M00 vector kernels.
P1_after_helper_deduplication,PORT_STATUS_RELEASE_GATE.csv:row_0107,ch2_norm,foa_ch02_ast_norm,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/core/ast_ch2_core.sci",low_risk_vector_math,low_risk_candidate,8D_helper_deduplication_then_low_risk_vector_contracts,common scalar/vector helper; promote only if deduplicated against existing M00 kernels and needed by a bounded family,yes_standard_formula_vault_contract_and_source_locator_review,Common vector helper; likely duplicate of existing central M00 vector kernels.
P1_after_helper_deduplication,PORT_STATUS_RELEASE_GATE.csv:row_0108,ch2_unit,foa_ch02_ast_unit,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/core/ast_ch2_core.sci",low_risk_vector_math,low_risk_candidate,8D_helper_deduplication_then_low_risk_vector_contracts,common scalar/vector helper; promote only if deduplicated against existing M00 kernels and needed by a bounded family,yes_standard_formula_vault_contract_and_source_locator_review,Common vector helper; likely duplicate of existing central M00 vector kernels.
P1_after_helper_deduplication,PORT_STATUS_RELEASE_GATE.csv:row_0109,ch2_clamp,foa_ch02_ast_clamp,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/core/ast_ch2_core.sci",low_risk_scalar_math,low_risk_candidate,8D_helper_deduplication_then_low_risk_scalar_contracts,common scalar/vector helper; promote only if deduplicated against existing M00 kernels and needed by a bounded family,yes_standard_formula_vault_contract_and_source_locator_review,Common scalar helper; likely duplicate utility row.
P1_after_helper_deduplication,PORT_STATUS_RELEASE_GATE.csv:row_0111,ch2_angle_between,foa_ch02_ast_angle_between,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/core/ast_ch2_core.sci",low_risk_vector_math,low_risk_candidate,8D_helper_deduplication_then_low_risk_vector_contracts,common scalar/vector helper; promote only if deduplicated against existing M00 kernels and needed by a bounded family,yes_standard_formula_vault_contract_and_source_locator_review,Common vector helper; likely duplicate of existing central M00 vector kernels.
P2_after_contract_review,PORT_STATUS_RELEASE_GATE.csv:row_0114,ch2_deg2rad,foa_ch02_ast_deg2rad,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/core/ast_ch2_core.sci",unit_conversion,low_risk_candidate,8D_deduplicated_unit_conversion_helpers,low-risk by metadata but requires family contract before implementation,yes_standard_formula_vault_contract_and_source_locator_review,Unit/constants conversion pattern.
P2_after_contract_review,PORT_STATUS_RELEASE_GATE.csv:row_0115,ch2_rad2deg,foa_ch02_ast_rad2deg,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/core/ast_ch2_core.sci",unit_conversion,low_risk_candidate,8D_deduplicated_unit_conversion_helpers,low-risk by metadata but requires family contract before implementation,yes_standard_formula_vault_contract_and_source_locator_review,Unit/constants conversion pattern.
P1_after_helper_deduplication,PORT_STATUS_RELEASE_GATE.csv:row_0117,ch2_safe_sqrt,foa_ch02_ast_safe_sqrt,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/core/ast_ch2_core.sci",low_risk_scalar_math,low_risk_candidate,8D_helper_deduplication_then_low_risk_scalar_contracts,common scalar/vector helper; promote only if deduplicated against existing M00 kernels and needed by a bounded family,yes_standard_formula_vault_contract_and_source_locator_review,Common scalar helper; likely duplicate utility row.
P1_after_helper_deduplication,PORT_STATUS_RELEASE_GATE.csv:row_0118,ch2_det3_cols,foa_ch02_ast_det3_cols,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/core/ast_ch2_core.sci",low_risk_vector_math,low_risk_candidate,8D_helper_deduplication_then_low_risk_vector_contracts,common scalar/vector helper; promote only if deduplicated against existing M00 kernels and needed by a bounded family,yes_standard_formula_vault_contract_and_source_locator_review,Common vector helper; likely duplicate of existing central M00 vector kernels.
P1_after_helper_deduplication,PORT_STATUS_RELEASE_GATE.csv:row_0119,ch2_eye3,foa_ch02_ast_eye3,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/core/ast_ch2_core.sci",low_risk_vector_math,low_risk_candidate,8D_helper_deduplication_then_low_risk_vector_contracts,common scalar/vector helper; promote only if deduplicated against existing M00 kernels and needed by a bounded family,yes_standard_formula_vault_contract_and_source_locator_review,Common vector helper; likely duplicate of existing central M00 vector kernels.
P1_after_helper_deduplication,PORT_STATUS_RELEASE_GATE.csv:row_0120,ch2_sign_nonzero,foa_ch02_ast_sign_nonzero,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/core/ast_ch2_core.sci",low_risk_scalar_math,low_risk_candidate,8D_helper_deduplication_then_low_risk_scalar_contracts,common scalar/vector helper; promote only if deduplicated against existing M00 kernels and needed by a bounded family,yes_standard_formula_vault_contract_and_source_locator_review,Common scalar helper; likely duplicate utility row.
P2_after_contract_review,PORT_STATUS_RELEASE_GATE.csv:row_0121,earth_rotation_rate_canonical,foa_ch02_ast_earth_rotation_rate_canonical,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/core/ast_ch2_core.sci",unit_conversion,low_risk_candidate,8D_deduplicated_unit_conversion_helpers,low-risk by metadata but requires family contract before implementation,yes_standard_formula_vault_contract_and_source_locator_review,Unit/constants conversion pattern.
P1_after_helper_deduplication,PORT_STATUS_RELEASE_GATE.csv:row_0188,ch3_col,foa_ch03_ast_col,"source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/core/ast_ch3_core.sci",low_risk_vector_math,low_risk_candidate,8D_helper_deduplication_then_low_risk_vector_contracts,common scalar/vector helper; promote only if deduplicated against existing M00 kernels and needed by a bounded family,yes_standard_formula_vault_contract_and_source_locator_review,Common vector helper; likely duplicate of existing central M00 vector kernels.
P1_after_helper_deduplication,PORT_STATUS_RELEASE_GATE.csv:row_0189,ch3_dot,foa_ch03_ast_dot,"source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/core/ast_ch3_core.sci",low_risk_vector_math,low_risk_candidate,8D_helper_deduplication_then_low_risk_vector_contracts,common scalar/vector helper; promote only if deduplicated against existing M00 kernels and needed by a bounded family,yes_standard_formula_vault_contract_and_source_locator_review,Common vector helper; likely duplicate of existing central M00 vector kernels.
P1_after_helper_deduplication,PORT_STATUS_RELEASE_GATE.csv:row_0190,ch3_cross,foa_ch03_ast_cross,"source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/core/ast_ch3_core.sci",low_risk_vector_math,low_risk_candidate,8D_helper_deduplication_then_low_risk_vector_contracts,common scalar/vector helper; promote only if deduplicated against existing M00 kernels and needed by a bounded family,yes_standard_formula_vault_contract_and_source_locator_review,Common vector helper; likely duplicate of existing central M00 vector kernels.
P1_after_helper_deduplication,PORT_STATUS_RELEASE_GATE.csv:row_0191,ch3_norm,foa_ch03_ast_norm,"source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/core/ast_ch3_core.sci",low_risk_vector_math,low_risk_candidate,8D_helper_deduplication_then_low_risk_vector_contracts,common scalar/vector helper; promote only if deduplicated against existing M00 kernels and needed by a bounded family,yes_standard_formula_vault_contract_and_source_locator_review,Common vector helper; likely duplicate of existing central M00 vector kernels.
P1_after_helper_deduplication,PORT_STATUS_RELEASE_GATE.csv:row_0192,ch3_unit,foa_ch03_ast_unit,"source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/core/ast_ch3_core.sci",low_risk_vector_math,low_risk_candidate,8D_helper_deduplication_then_low_risk_vector_contracts,common scalar/vector helper; promote only if deduplicated against existing M00 kernels and needed by a bounded family,yes_standard_formula_vault_contract_and_source_locator_review,Common vector helper; likely duplicate of existing central M00 vector kernels.
P1_after_helper_deduplication,PORT_STATUS_RELEASE_GATE.csv:row_0193,ch3_clamp,foa_ch03_ast_clamp,"source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/core/ast_ch3_core.sci",low_risk_scalar_math,low_risk_candidate,8D_helper_deduplication_then_low_risk_scalar_contracts,common scalar/vector helper; promote only if deduplicated against existing M00 kernels and needed by a bounded family,yes_standard_formula_vault_contract_and_source_locator_review,Common scalar helper; likely duplicate utility row.
P1_after_helper_deduplication,PORT_STATUS_RELEASE_GATE.csv:row_0194,ch3_safe_sqrt,foa_ch03_ast_safe_sqrt,"source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/core/ast_ch3_core.sci",low_risk_scalar_math,low_risk_candidate,8D_helper_deduplication_then_low_risk_scalar_contracts,common scalar/vector helper; promote only if deduplicated against existing M00 kernels and needed by a bounded family,yes_standard_formula_vault_contract_and_source_locator_review,Common scalar helper; likely duplicate utility row.
P2_after_contract_review,PORT_STATUS_RELEASE_GATE.csv:row_0198,ch3_deg2rad,foa_ch03_ast_deg2rad,"source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/core/ast_ch3_core.sci",unit_conversion,low_risk_candidate,8D_deduplicated_unit_conversion_helpers,low-risk by metadata but requires family contract before implementation,yes_standard_formula_vault_contract_and_source_locator_review,Unit/constants conversion pattern.
P2_after_contract_review,PORT_STATUS_RELEASE_GATE.csv:row_0199,ch3_rad2deg,foa_ch03_ast_rad2deg,"source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/core/ast_ch3_core.sci",unit_conversion,low_risk_candidate,8D_deduplicated_unit_conversion_helpers,low-risk by metadata but requires family contract before implementation,yes_standard_formula_vault_contract_and_source_locator_review,Unit/constants conversion pattern.
P1_after_helper_deduplication,PORT_STATUS_RELEASE_GATE.csv:row_0201,ch3_angle_between,foa_ch03_ast_angle_between,"source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/core/ast_ch3_core.sci",low_risk_vector_math,low_risk_candidate,8D_helper_deduplication_then_low_risk_vector_contracts,common scalar/vector helper; promote only if deduplicated against existing M00 kernels and needed by a bounded family,yes_standard_formula_vault_contract_and_source_locator_review,Common vector helper; likely duplicate of existing central M00 vector kernels.
